City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Sioux Lookout,CA,50.1001,-91.917,18.97,90,100,15.77,light snow
271,Narsaq,GL,60.9167,-46.05,28.62,87,93,4.07,overcast clouds
272,Jalcocotan,MX,21.4667,-105.1167,77.7,45,48,1.25,scattered clouds
273,Port Hawkesbury,CA,45.6169,-61.3485,37.18,73,25,5.01,scattered clouds
274,Hualmay,PE,-11.0964,-77.6139,71.62,72,94,10.11,overcast clouds
275,Krizevci,HR,46.0219,16.5425,40.19,94,100,8.37,overcast clouds
276,Dingle,PH,10.9995,122.6711,75.6,93,85,7.67,overcast clouds
277,Lake City,US,30.1897,-82.6393,78.62,65,0,12.66,clear sky
278,Edd,ER,13.9297,41.6925,85.15,48,0,21.27,clear sky
279,Tabas,IR,33.5959,56.9244,61.45,34,100,3.69,overcast clouds
280,Mantua,IT,45.1667,10.7833,47.01,78,100,1.99,overcast clouds
281,Veselynove,UA,47.3567,31.2349,34.2,63,84,7.92,broken clouds
282,Thompson,CA,55.7435,-97.8558,-7.78,89,99,9.66,overcast clouds
283,Cangzhou,CN,38.3167,116.8667,19.72,22,3,7.09,clear sky
284,Flagstaff,US,35.1981,-111.6513,39.11,60,0,1.01,clear sky
285,Lewiston,US,44.1003,-70.2148,46.24,97,100,0.0,mist
286,Skaerbaek,DK,55.1573,8.769,41.27,88,99,9.55,overcast clouds
287,Kruisfontein,ZA,-34.0033,24.7314,73.89,52,42,8.95,light rain
288,Beterou,BJ,9.1992,2.2586,94.46,16,24,2.53,few clouds
289,Port Blair,IN,11.6667,92.75,81.12,81,86,6.71,overcast clouds
290,Pilot Butte,CA,50.4668,-104.4178,1.02,78,75,5.75,mist
291,Laguna,US,38.421,-121.4238,48.09,86,0,0.0,clear sky
292,Ambilobe,MG,-13.2,49.05,76.48,83,51,3.44,moderate rain
293,Kelo,TD,9.3086,15.8066,87.51,20,8,4.47,clear sky
294,Marsh Harbour,BS,26.5412,-77.0636,78.55,71,68,12.08,broken clouds
295,Korla,CN,41.7597,86.1469,16.9,18,92,4.16,overcast clouds
296,Ndele,CF,8.4109,20.6473,85.87,29,100,1.77,overcast clouds
297,Jaguaruana,BR,-4.8339,-37.7811,86.45,53,99,7.43,overcast clouds
298,Ahuimanu,US,21.4447,-157.8378,74.17,93,40,3.44,scattered clouds
299,Svetlaya,RU,46.5389,138.3297,1.27,72,31,11.65,scattered clouds
