City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
658,Nanakuli,US,74.43,clear sky,21.3906,-158.1547,No hotel found
659,Sijunjung,ID,72.66,light rain,-0.6876,100.9537,Hotel Bukik Gadang
663,Kasongo-Lunda,CD,71.71,overcast clouds,-6.4667,16.8167,No hotel found
667,Todos Santos,MX,75.04,broken clouds,23.45,-110.2167,Hotel Casa Tota
668,Ikalamavony,MG,75.83,overcast clouds,-21.15,46.5833,No hotel found
669,Auki,SB,76.62,overcast clouds,-8.7676,160.7034,No hotel found
671,Martapura,ID,75.29,light rain,-3.4167,114.85,Q-Hotel Grand Dafam
673,Pericos,MX,71.85,clear sky,25.05,-107.7,No hotel found
680,Cairns,AU,77.07,overcast clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
682,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue
683,Tanout,NE,80.24,clear sky,14.9709,8.8879,No hotel found
684,Musoma,TZ,73.27,overcast clouds,-1.5,33.8,New Peninsula Hotel
685,Buin,CL,79.05,clear sky,-33.7333,-70.75,No hotel found
691,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Fidji Motel
693,Sembakung,ID,74.1,broken clouds,3.8167,117.25,No hotel found
695,Kandrian,PG,77.09,broken clouds,-6.2167,149.55,No hotel found
696,Carauari,BR,89.44,overcast clouds,-4.8828,-66.8958,No hotel found
703,New Amsterdam,GY,83.71,clear sky,6.25,-57.5167,Church View Hotel
